hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
28.25,79.90672,0.1,24.535524,SRQ
28.05,82.79936,0.2,23.795427,SRQ
28.211,68.27649,0.,7.2805495,FLO
27.611,71.14205,0.,12.10157,FLO
26.661001,75.45059,0.,14.386494,FLO
26.661001,74.99159,0.,18.331741,FLO
26.411001,74.72228,0.,23.110205,FLO
26.161001,73.54467,0.,23.03156,FLO
25.761,72.352806,0.,21.626984,FLO
25.211,74.06663,0.,18.86139,FLO
24.911001,77.048904,0.,16.75064,FLO
24.411001,80.370125,0.,12.181624,FLO
24.311,81.35188,0.,9.220499,FLO
24.511,81.1277,0.,8.891343,FLO
25.711,75.99563,0.,15.629971,FLO
25.611,72.55015,0.3,18.861387,FLO
24.261,80.84659,1.,17.28,FLO
23.411001,94.69717,1.4,13.661038,FLO
23.461,96.14631,1.2,13.044722,FLO
23.511,96.43938,1.6,11.119281,FLO
23.661001,95.2826,2.8,5.6920996,FLO
23.661001,94.99435,2.2,4.8433046,FLO
24.011,91.06071,1.2,11.609651,FLO
24.211,88.61635,0.,11.367109,FLO
24.611,84.4342,0.,10.08,FLO
24.761,81.9088,0.,8.473393,FLO
19.913,95.15033,0.1,12.371645,PWM
19.513,96.633095,0.,10.086427,PWM
19.313,97.23361,0.,8.654986,PWM
19.163,96.92694,0.1,11.966953,PWM
18.913,98.14258,0.2,18.0036,PWM
18.663,99.37628,0.,18.430452,PWM
18.613,99.687584,0.,16.595179,PWM
18.563,99.68748,0.1,14.685176,PWM
18.563,99.68748,0.,15.546833,PWM
18.513,99.68735,0.1,14.154915,PWM
18.613,99.06534,0.4,15.192682,PWM
18.763,98.14046,0.4,15.509274,PWM
19.263,99.68913,0.2,14.84318,PWM
19.263,100.,1.8,18.94024,PWM
19.213001,100.,4.1,12.245294,PWM
18.913,100.,4.4,12.768586,PWM
18.963001,100.,3.1,16.923828,PWM
19.313,100.,1.8,16.981165,PWM
19.313,100.,0.9,18.681883,PWM
19.263,97.84165,0.3,20.948164,PWM
19.063,97.83842,0.1,19.64558,PWM
19.063,97.53297,0.1,20.49156,PWM
18.713001,99.06603,0.2,21.53089,PWM
18.713001,98.756424,0.1,21.99538,PWM
27.380499,50.27826,0.,31.942772,ABR
26.0805,52.569843,0.,33.481937,ABR
24.1805,57.010998,0.,31.667723,ABR
22.5805,61.194473,0.,31.160282,ABR
21.5805,62.76934,0.,32.83705,ABR
21.1805,61.06974,0.,34.897724,ABR
20.7305,60.17284,0.,34.679794,ABR
20.4305,59.513,0.,34.858707,ABR
20.0805,60.217255,0.,33.56312,ABR
19.530499,62.511406,0.,30.500309,ABR
18.9805,65.11578,0.,28.337282,ABR
18.280499,68.479034,0.,25.603062,ABR
18.4305,71.718506,0.,14.77755,ABR
19.8305,74.09129,0.,8.534353,ABR
22.4305,67.12496,0.,3.6,ABR
23.880499,60.131462,0.,1.0182338,ABR
25.0805,58.520874,0.,5.7599998,ABR
25.8305,58.328304,0.,10.24578,ABR
26.1805,59.715343,0.,13.527572,ABR
26.4305,60.719418,0.,18.331741,ABR
26.4805,60.161774,0.,21.868332,ABR
26.630499,60.007782,0.,20.808498,ABR
26.880499,57.482185,0.,17.477621,ABR
26.780499,55.84896,0.,18.581022,ABR
25.5195,47.88922,0.,10.390226,HYS
24.6695,52.715584,0.,12.0694,HYS
22.0695,64.93548,0.,13.202726,HYS
21.0695,68.810715,0.,14.494192,HYS
20.469501,72.5548,0.,16.73516,HYS
19.8195,76.26063,0.,19.493261,HYS
19.3195,79.17166,0.,20.364674,HYS
19.219501,79.92145,0.,25.6233,HYS
19.1695,78.89702,0.,26.302181,HYS
